#1, levaorel, 80, 1996943
#2, thedyolf, 65, 481032
#3, Orthanius, 54, 153526
#4, Nepycros, 52, 131868
#5, neatoprsn, 35, 23760
#6, Chilyzs, 25, 8250
#7, intellegint, 25, 8250
#8, billybillyjim, 24, 7095
#9, Hobocannibal, 23, 7014
#10, mug_of_misery, 23, 7014
#11, ArthurChanTDK, 18, 3630
#12, Mixxael, 15, 2475
#13, Baller78561, 5, 495
#14, doubletalkgamez, 5, 495
#15, jrathje10, 5, 495
#16, Loungechairs, 5, 495
