#1, tn0nr5, 85, 3327150
#2, billybillyjim, 82, 2475440
#3, levaorel, 74, 1165027
#4, Baller78561, 71, 825975
#5, thedyolf, 63, 404496
#6, neatoprsn, 63, 380831
#7, azazel20202, 56, 200865
#8, Orthanius, 56, 199151
#9, AmoristNA, 51, 114190
#10, 0aty, 49, 91725
#11, UIM_Dkjn, 48, 86375
#12, razrushil, 46, 70780
#13, Loungechairs, 46, 70133
#14, Timm638, 44, 58950
#15, InfernoBren, 44, 57765
#16, Tolemak, 42, 49625
#17, Crimson406, 39, 36955
#18, doubletalkgamez, 34, 20450
#19, themcfresh, 27, 10150
#20, GuppyandPiranha, 26, 9050
#21, SGFTI, 26, 9050
#22, vFelzes, 24, 7400
#23, ThetaSig, 21, 5200
#24, ArthurChanTDK, 16, 3000
#25, incitor, 13, 2100
#26, jrathje10, 13, 2100
#27, siam__, 13, 2030
#28, agrodon, 11, 1400
#29, personamb, 11, 1400
#30, RedStorm1024, 11, 1400
#31, rokelka, 11, 1400
#32, Zozo5002, 11, 1400
#33, OrangeFaygo836, 9, 1036
#34, batterytoast, 9, 980
#35, OmenSSBM, 7, 770
#36, 69Napalm69, 7, 700
#37, 808eat808, 7, 700
#38, duni___, 7, 700
#39, Enfer_, 7, 700
#40, Gneerox, 7, 700
#41, intellegint, 7, 700
#42, iron0skillet, 7, 700
#43, ISibboI, 7, 700
#44, itsguy247, 7, 700
#45, julesissorry, 7, 700
#46, lakalucci, 7, 700
#47, moriakaice, 7, 700
#48, nexmojo, 7, 700
#49, reysoul, 7, 700
#50, rhtchimera, 7, 700
#51, SadKyss, 7, 700
#52, Shambalazam, 7, 700
#53, Sunnyside_HD, 7, 700
#54, TheFletchhhh, 7, 700
#55, the_fasion_bois, 7, 700
#56, Tismas, 7, 700
#57, Topottsel, 7, 700
#58, trisaratops__, 7, 700
#59, warhorse09, 7, 700
#60, xv5u, 7, 700
#61, Zebezian, 7, 700
#62, Hopecaster, 6, 630
#63, LegacyofChib, 6, 630
#64, RedBulls76, 6, 630
#65, troyich, 6, 630
#66, endlessbatteries, 5, 420
#67, Haecia, 5, 420
#68, tikigodbob, 5, 420
#69, ililililillliil, 3, 210
#70, Halvardem, 2, 140
#71, rayzzzr, 2, 119
#72, grubinator, 1, 70
#73, lasertje, 1, 70
#74, mc2dee, 1, 70
#75, mrsarcophagus, 1, 70
#76, pumafut, 1, 70
#77, sickypixels, 1, 70
#78, SimGuruSteve, 1, 70
#79, SMAll139999, 1, 70
#80, SourCreamNinja, 1, 70
#81, vindrols, 1, 70
#82, volksen, 1, 70
#83, Tokoyashi, 1, 42
