#1, II_Stealth_II, 79, 1963965
#2, WeSkillNow, 71, 848970
#3, Loungechairs, 70, 756295
#4, hh_hhh_hh, 60, 280820
#5, themcfresh, 56, 199710
#6, siam__, 54, 166240
#7, thedyolf, 52, 124320
#8, Mancer70, 50, 108400
#9, incitor, 49, 93700
#10, Orthanius, 48, 84650
#11, Hobocannibal, 45, 65200
#12, PricedUp, 45, 63700
#13, Crimson406, 45, 62950
#14, levaorel, 42, 47700
#15, RedStorm1024, 34, 21000
#16, azazel20202, 30, 13800
#17, neatoprsn, 30, 13800
#18, Zaratath, 27, 10500
#19, lord_steven, 23, 7000
#20, aesa___, 18, 3750
#21, AnimusVI, 18, 3750
#22, brianisbadatsmash, 18, 3750
#23, DarkSonic1338, 18, 3750
#24, Miss_Crystls, 16, 3000
#25, biugh, 16, 2750
#26, axelsmithy, 13, 2000
#27, joseph12585, 13, 2000
#28, Lorentzendary, 13, 2000
#29, lupricarius, 13, 2000
#30, Haecia, 12, 1800
#31, jrathje10, 12, 1700
#32, Baller78561, 11, 1430
#33, Treekeeper, 9, 1100
#34, 01_cybernerd_10, 9, 1000
#35, Agent_Bearmen, 9, 1000
#36, Andrelamus, 9, 1000
#37, bigboymankid, 9, 1000
#38, david0706, 9, 1000
#39, deliverance, 9, 1000
#40, dodogaga, 9, 1000
#41, edemarchen, 9, 1000
#42, excomnia, 9, 1000
#43, Generalunderdog, 9, 1000
#44, Hananniee, 9, 1000
#45, kasimxo, 9, 1000
#46, Lucas90012yt, 9, 1000
#47, mac_yea, 9, 1000
#48, manbearpigeon69, 9, 1000
#49, MatthisBeaurepaire, 9, 1000
#50, Melchizedeck, 9, 1000
#51, motiapro, 9, 1000
#52, Mr_jamerton, 9, 1000
#53, Panda3140, 9, 1000
#54, pastelwavemuffin, 9, 1000
#55, pizza_hut_daily_deals, 9, 1000
#56, pwna7, 9, 1000
#57, quurre, 9, 1000
#58, RadialMonster, 9, 1000
#59, realfinalangel, 9, 1000
#60, Rob4001, 9, 1000
#61, sickypixels, 9, 1000
#62, sireminymainey, 9, 1000
#63, TomBtw, 9, 1000
#64, xtronicon1, 9, 1000
#65, rokelka, 8, 900
#66, tn0nr5, 8, 900
#67, agrodon, 7, 800
#68, mknepprath, 7, 800
#69, balt06, 7, 700
#70, lljksod, 5, 500
#71, amp111111, 5, 450
#72, idlekitty, 5, 450
#73, Kennzzz, 5, 450
#74, Knoxand, 5, 450
#75, lewisblt, 5, 450
#76, verduous, 5, 450
#77, Davemoedee, 5, 400
#78, TheRealTNO1, 4, 370
#79, brisia1212ale, 4, 300
#80, chrisofnil, 3, 200
#81, tntspy1, 3, 200
#82, Bittermandel, 2, 100
#83, ChrisBoiii25, 2, 100
#84, gravitybone, 2, 100
#85, JaxRyan, 2, 100
#86, jaytothematt, 2, 100
#87, Kraer, 2, 100
#88, Mewtaph, 2, 100
#89, Mifecek, 2, 100
#90, Nanukargnuk, 2, 100
#91, Necrothunder, 2, 100
#92, oppenheimerstoy, 2, 100
#93, ottey, 2, 100
#94, owhaven, 2, 100
#95, pignap112, 2, 100
#96, PurePandemonium, 2, 100
#97, Setarii, 2, 100
#98, shzb2103, 2, 100
#99, theexodu5, 2, 100
#100, wtfberserk51501, 2, 100
