#1, tn0nr5, 66, 540709
#2, levaorel, 66, 504955
#3, Orthanius, 60, 290431
#4, II_Stealth_II, 57, 221463
#5, WeSkillNow, 56, 186979
#6, Saotorik, 55, 169737
#7, thedyolf, 54, 152495
#8, Loungechairs, 51, 118011
#9, tampaESPORTS, 41, 44064
#10, AmoristNA, 34, 21843
#11, billybillyjim, 34, 21843
#12, Nepycros, 34, 21843
#13, Baller78561, 26, 9624
#14, Mixxael, 24, 7218
#15, neatoprsn, 20, 4812
#16, Tolemak, 20, 4812
#17, ArthurChanTDK, 14, 2406
#18, jrathje10, 14, 2406
#19, russellfugarheyl, 14, 2406
#20, Zaros559, 14, 2406
