#1, tampaESPORTS, 66, 541600
#2, Orthanius, 65, 455350
#3, levaorel, 60, 274160
#4, thedyolf, 59, 256010
#5, Nepycros, 42, 47298
#6, ililililillliil, 40, 37940
#7, Crimson406, 39, 35290
#8, azazel20202, 32, 17570
#9, neatoprsn, 29, 13340
#10, lljksod, 25, 8640
#11, themcfresh, 23, 6660
#12, Eduardvasie, 22, 6110
#13, Davemoedee, 20, 4570
#14, Baller78561, 18, 3630
#15, Miss_Crystls, 17, 3470
#16, Halvardem, 17, 3373
#17, pizza_hut_daily_deals, 17, 3140
#18, siam__, 13, 1840
#19, mknepprath, 12, 1680
#20, CapivaraPR, 12, 1600
#21, jack9761, 12, 1600
#22, MrBobDobolina, 12, 1600
#23, Sawode, 12, 1600
#24, SovietCactus, 12, 1600
#25, Hobocannibal, 11, 1520
#26, jrathje10, 10, 1200
#27, brisia1212ale, 8, 880
#28, pastelwavemuffin, 8, 880
#29, agrodon, 7, 800
#30, AlphaWolfSniper, 7, 800
#31, AxleVice, 7, 800
#32, balt06, 7, 800
#33, BeinDraug, 7, 800
#34, blazedjake, 7, 800
#35, butterjsteam, 7, 800
#36, calamay, 7, 800
#37, chayaa, 7, 800
#38, ChrisTunAP, 7, 800
#39, CornPhlake, 7, 800
#40, EnderFlop, 7, 800
#41, Freggol, 7, 800
#42, Gobbleporch, 7, 800
#43, LegacyofChib, 7, 800
#44, magicbonus, 7, 800
#45, realfinalangel, 7, 800
#46, reddii, 7, 800
#47, RedStorm1024, 7, 800
#48, Regnormen, 7, 800
#49, sand3r_, 7, 800
#50, sigitonas, 7, 800
#51, sp00ble, 7, 800
#52, TarikoOriginal, 7, 800
#53, theturkish911, 7, 800
#54, Thoumiel, 7, 800
#55, Timeous, 7, 800
#56, UIM_Dkjn, 7, 800
#57, xtronicon1, 7, 800
#58, Edrak1, 7, 720
#59, batterytoast, 6, 560
#60, hh_hhh_hh, 5, 400
#61, ItsIts, 1, 80
#62, tn0nr5, 1, 80
#63, WeSkillNow, 1, 80
#64, Zhulltw, 1, 80
