#1, Mixxael, 63, 391190
#2, Haecia, 61, 314790
#3, endlessbatteries, 56, 195590
#4, Crimson406, 50, 107310
#5, levaorel, 45, 65550
#6, thedyolf, 44, 60190
#7, Miss_Crystls, 41, 43800
#8, azazel20202, 30, 14150
#9, themcfresh, 25, 8575
#10, Orthanius, 22, 6090
#11, LegacyofChib, 21, 5550
#12, jrathje10, 14, 2250
#13, pizza_hut_daily_deals, 14, 2250
#14, AmoristNA, 13, 1980
#15, tampaESPORTS, 12, 1800
#16, jRoy7, 11, 1500
#17, RedStorm1024, 11, 1500
#18, tendash_, 11, 1500
#19, Baller78561, 10, 1350
#20, hahaverynice20, 8, 900
#21, AnimusVI, 7, 750
#22, Barter_, 7, 750
#23, brisia1212ale, 7, 750
#24, dodogaga, 7, 750
#25, Leowooj, 7, 750
#26, lord_steven, 7, 750
#27, moriakaice, 7, 750
#28, taokan22, 7, 750
#29, yawninfection, 7, 750
#30, siam__, 6, 600
#31, SGFTI, 5, 450
#32, billybillyjim, 4, 300
#33, Davemoedee, 2, 150
#34, Eduardvasie, 2, 150
#35, hh_hhh_hh, 2, 150
#36, neatoprsn, 2, 150
#37, MDUnreal, 1, 75
